year,type,age,number_reported,number_passed,passing_rate
2006,Other Buses,6,894,743,83.1
2006,Other Buses,7,771,611,79.2
2006,Other Buses,8,715,543,75.9
2006,Other Buses,9,659,502,76.2
2006,Other Buses,10,823,592,71.9
2006,Other Buses,>10,4859,3386,69.7
2006,Taxis,1,20609,20571,99.8
2006,Taxis,2,11478,11466,99.9
2006,Taxis,3,4580,4579,100
2006,Taxis,4,4542,4528,99.7
2006,Taxis,5,938,913,97.3
2006,Taxis,6,412,383,93
2006,Taxis,7,115,98,85.2
2006,Taxis,8,0,0,0
2006,Taxis,9,0,0,0
2006,Taxis,10,0,0,0
2006,Taxis,>10,0,0,0
2006,Goods & Other Vehicles,1,17067,15235,89.3
2006,Goods & Other Vehicles,2,16437,14495,88.2
2006,Goods & Other Vehicles,3,15176,13232,87.2
2006,Goods & Other Vehicles,4,9672,8232,85.1
2006,Goods & Other Vehicles,5,14441,12082,83.7
2006,Goods & Other Vehicles,6,16216,13747,84.8
2006,Goods & Other Vehicles,7,7940,6512,82
2006,Goods & Other Vehicles,8,8194,6588,80.4
2006,Goods & Other Vehicles,9,5401,4221,78.2
2006,Goods & Other Vehicles,10,9822,7574,77.1
2006,Goods & Other Vehicles,>10,39429,31331,79.5
2007,Cars,1,233,224,96.13733906
2007,Cars,2,2870,2778,96.79442509
2007,Cars,3,87144,82155,94.27499311
2007,Cars,4,378,364,96.2962963
2007,Cars,5,14737,13928,94.51041596
2007,Cars,6,209,192,91.86602871
2007,Cars,7,4432,4174,94.17870036
2007,Cars,8,120,104,86.66666667
2007,Cars,9,2793,2574,92.15896885
2007,Cars,10,676,598,88.46153846
2007,Cars,>10,28402,23840,83.93775086
2007,Motorcycles,1,211,200,94.78672986
2007,Motorcycles,2,976,928,95.08196721
2007,Motorcycles,3,13051,12262,93.95448625
2007,Motorcycles,4,14595,13734,94.10071942
2007,Motorcycles,5,15653,14735,94.13530953
2007,Motorcycles,6,12017,11211,93.29283515
2007,Motorcycles,7,8760,8106,92.53424658
2007,Motorcycles,8,6753,6286,93.08455501
2007,Motorcycles,9,5644,5292,93.76328845
2007,Motorcycles,10,3173,2951,93.00346675
2007,Motorcycles,>10,26109,24234,92.81856831
2007,Scheduled Buses,1,132,131,99.24242424
2007,Scheduled Buses,2,12,12,100
2007,Scheduled Buses,3,68,66,97.05882353
2007,Scheduled Buses,4,48,48,100
2007,Scheduled Buses,5,120,120,100
2007,Scheduled Buses,6,186,185,99.46236559
2007,Scheduled Buses,7,162,159,98.14814815
2007,Scheduled Buses,8,130,130,100
2007,Scheduled Buses,9,201,200,99.50248756
2007,Scheduled Buses,10,343,334,97.37609329
2007,Scheduled Buses,>10,2907,2900,99.75920193
2007,Other Buses,1,885,794,89.71751412
2007,Other Buses,2,751,657,87.48335553
2007,Other Buses,3,726,608,83.74655647
2007,Other Buses,4,710,595,83.8028169
2007,Other Buses,5,635,518,81.57480315
2007,Other Buses,6,821,668,81.36419001
2007,Other Buses,7,905,729,80.55248619
2007,Other Buses,8,689,518,75.18142235
2007,Other Buses,9,658,490,74.46808511
2007,Other Buses,10,840,602,71.66666667
2007,Other Buses,>10,4998,3433,68.68747499
2007,Taxis,1,11473,11459,99.87797437
2007,Taxis,2,14681,14672,99.93869627
2007,Taxis,3,10587,10582,99.95277227
2007,Taxis,4,3600,3588,99.66666667
2007,Taxis,5,637,623,97.8021978
2007,Taxis,6,284,246,86.61971831
2007,Taxis,7,144,116,0
2007,Taxis,8,0,0,0
2007,Taxis,9,0,0,0
2007,Taxis,10,0,0,0
2007,Taxis,>10,0,0,0
2007,Goods & Other Vehicles,1,16285,14564,89.43199263
2007,Goods & Other Vehicles,2,15162,13247,87.36974014
2007,Goods & Other Vehicles,3,16291,13904,85.34773801
2007,Goods & Other Vehicles,4,14353,12160,84.72096426
2007,Goods & Other Vehicles,5,9656,8036,83.22286661
2007,Goods & Other Vehicles,6,11705,9299,79.44468176
2007,Goods & Other Vehicles,7,16340,13497,82.60097919
2007,Goods & Other Vehicles,8,7788,6078,78.0431433
2007,Goods & Other Vehicles,9,8222,6459,78.55752858
2007,Goods & Other Vehicles,10,7024,5491,78.17482916
2007,Goods & Other Vehicles,>10,44705,34282,76.68493457
2008,Cars,1,203,199,98.02955665
2008,Cars,2,317,303,95.58359621
2008,Cars,3,108163,102291,94.5711565
2008,Cars,4,462,435,94.15584416
2008,Cars,5,28807,27385,95.0636998
2008,Cars,6,248,227,91.53225806
2008,Cars,7,8579,8064,93.99696934
2008,Cars,8,86,81,94.18604651
2008,Cars,9,1695,1586,93.56932153
2008,Cars,10,60,56,93.33333333
2008,Cars,>10,24411,20714,84.85518823
2008,Motorcycles,1,81,77,95.0617284
2008,Motorcycles,2,256,244,95.3125
2008,Motorcycles,3,12543,11792,94.01259667
2008,Motorcycles,4,11941,11275,94.42257767
2008,Motorcycles,5,14386,13554,94.21659947
2008,Motorcycles,6,15462,14607,94.47031432
2008,Motorcycles,7,11523,10727,93.09207672
2008,Motorcycles,8,8192,7609,92.88330078
2008,Motorcycles,9,6087,5665,93.06719238
2008,Motorcycles,10,3887,3619,93.10522254
2008,Motorcycles,>10,26159,24310,92.93168699
2008,Scheduled Buses,1,178,178,100
2008,Scheduled Buses,2,101,101,100
2008,Scheduled Buses,3,12,12,100
2008,Scheduled Buses,4,43,43,100
2008,Scheduled Buses,5,56,56,100
2008,Scheduled Buses,6,57,57,100
2008,Scheduled Buses,7,179,179,100
2008,Scheduled Buses,8,184,184,100
2008,Scheduled Buses,9,110,110,100
2008,Scheduled Buses,10,140,140,100
2008,Scheduled Buses,>10,3104,3104,100
2008,Other Buses,1,774,717,92.63565891
2008,Other Buses,2,790,718,90.88607595
2008,Other Buses,3,773,705,91.20310479
2008,Other Buses,4,723,641,88.65836791
2008,Other Buses,5,690,602,87.24637681
2008,Other Buses,6,581,502,86.40275387
2008,Other Buses,7,843,703,83.39264531
2008,Other Buses,8,880,751,85.34090909
2008,Other Buses,9,696,568,81.6091954
2008,Other Buses,10,1025,820,80
2008,Other Buses,>10,6022,4642,77.08402524
2008,Taxis,1,11082,11078,99.96390543
2008,Taxis,2,10857,10852,99.95394676
2008,Taxis,3,14994,14988,99.95998399
2008,Taxis,4,9368,9365,99.96797609
2008,Taxis,5,872,866,99.31192661
2008,Taxis,6,315,301,95.55555556
2008,Taxis,7,160,140,87.5
2008,Taxis,8,0,0,0
2008,Taxis,9,0,0,0
2008,Taxis,10,0,0,0
2008,Taxis,>10,0,0,0
2008,Goods & Other Vehicles,1,13839,12866,92.96914517
2008,Goods & Other Vehicles,2,14423,13346,92.53276017
2008,Goods & Other Vehicles,3,15722,14297,90.93626765
2008,Goods & Other Vehicles,4,16540,14794,89.44377267
2008,Goods & Other Vehicles,5,14704,13063,88.83977149
2008,Goods & Other Vehicles,6,8693,7632,87.79477741
2008,Goods & Other Vehicles,7,11923,10190,85.46506752
2008,Goods & Other Vehicles,8,16436,14116,85.88464347
2008,Goods & Other Vehicles,9,7591,6347,83.61217231
2008,Goods & Other Vehicles,10,10231,8518,83.25676864
2008,Goods & Other Vehicles,>10,51635,43096,83.4627675
2009,Cars,1,219,214,97.71689498
2009,Cars,2,373,350,93.83378016
2009,Cars,3,116702,109209,93.5793731
2009,Cars,4,623,597,95.82664526
2009,Cars,5,49737,47091,94.68001689
2009,Cars,6,195,179,91.79487179
2009,Cars,7,6941,6591,94.95749892
2009,Cars,8,150,140,93.33333333
2009,Cars,9,2150,2013,93.62790698
2009,Cars,10,52,45,86.53846154
2009,Cars,>10,20997,17863,85.0740582
2009,Motorcycles,1,97,94,96.90721649
2009,Motorcycles,2,227,213,93.83259912
2009,Motorcycles,3,11656,10680,91.62663006
2009,Motorcycles,4,11617,10981,94.5252647
2009,Motorcycles,5,11686,11013,94.2409721
2009,Motorcycles,6,14143,13330,94.25157322
2009,Motorcycles,7,14878,14099,94.76408119
2009,Motorcycles,8,10645,9938,93.35838422
2009,Motorcycles,9,7365,6860,93.14324508
2009,Motorcycles,10,4145,3844,92.73823884
2009,Motorcycles,>10,26949,25122,93.22052766
